station,valid, tmpf ,  dwpf ,  relh ,  drct ,  sped ,  mslp ,  p01i ,  vsby ,  presentwx
CMI,2016-01-08 10:06,44.96,44.06,96.63,170.00,12.7,M,0.00,0.25,FG
CMI,2016-01-08 10:21,46.04,44.96,95.99,170.00,11.5,M,0.00,0.50,BR
CMI,2016-01-08 10:53,46.04,44.96,95.99,180.00,11.5,1009.10,0.00,1.50,BR
CMI,2016-01-08 11:53,46.94,44.96,92.78,180.00,10.4,1007.90,0.00,1.50,BR
CMI,2016-01-08 12:53,46.94,44.96,92.78,180.00,12.7,1007.50,0.01,1.50,-RA BR
CMI,2016-01-08 13:53,46.94,46.04,96.66,190.00,11.5,1006.90,0.00,2.00,-RA BR
CMI,2016-01-08 14:29,46.94,46.04,96.66,190.00,13.8,M,0.00,1.75,-RA BR
CMI,2016-01-08 14:36,46.94,46.04,96.66,190.00,13.8,M,0.01,3.00,-RA BR
CMI,2016-01-08 14:53,46.94,44.96,92.78,190.00,12.7,1006.90,0.01,6.00,BR
CMI,2016-01-08 15:31,46.94,44.96,92.78,190.00,12.7,M,0.00,7.00,M
CMI,2016-01-08 15:53,46.94,44.96,92.78,190.00,13.8,1007.00,0.00,8.00,M
CMI,2016-01-08 16:53,46.94,44.96,92.78,190.00,12.7,1007.40,0.00,10.00,M
CMI,2016-01-08 16:55,46.94,44.96,92.78,190.00,11.5,M,0.00,10.00,M
CMI,2016-01-08 16:57,46.94,44.96,92.78,190.00,11.5,M,0.00,10.00,M
CMI,2016-01-08 17:53,46.94,44.96,92.78,190.00,13.8,1007.60,0.00,8.00,M
CMI,2016-01-08 18:29,46.04,44.96,95.99,190.00,11.5,M,0.01,7.00,-RA
CMI,2016-01-08 18:51,46.40,44.60,93.40,190.00,13.8,M,0.01,8.00,M
CMI,2016-01-08 18:53,46.94,44.96,92.78,190.00,15.0,1008.00,0.01,8.00,M
CMI,2016-01-08 19:19,46.94,44.96,92.78,210.00,13.8,M,0.00,7.00,-RA
CMI,2016-01-08 19:39,46.94,44.96,92.78,220.00,13.8,M,0.01,5.00,-RA BR
CMI,2016-01-08 19:49,46.40,44.60,93.40,220.00,13.8,M,0.01,9.00,M
CMI,2016-01-08 19:53,46.94,44.96,92.78,220.00,12.7,1008.70,0.01,8.00,M
CMI,2016-01-08 20:53,46.04,42.98,88.99,230.00,12.7,1009.20,0.00,10.00,M
CMI,2016-01-08 21:53,44.06,42.08,92.69,220.00,9.2,1009.50,0.00,10.00,M
CMI,2016-01-08 22:53,44.06,41.00,88.90,240.00,10.4,1009.80,0.00,10.00,M
CMI,2016-01-08 23:53,44.06,41.00,88.90,230.00,8.1,1009.80,0.00,10.00,M
CMI,2016-01-09 00:40,44.06,41.00,88.90,260.00,9.2,M,0.00,10.00,M
CMI,2016-01-09 00:53,44.06,41.00,88.90,260.00,10.4,1008.80,0.00,10.00,M
CMI,2016-01-09 01:53,42.98,41.00,92.65,250.00,15.0,1010.80,0.00,10.00,M
CMI,2016-01-09 02:53,42.08,39.02,88.81,240.00,11.5,1011.20,0.00,10.00,M
CMI,2016-01-09 03:53,42.08,39.02,88.81,260.00,9.2,1010.80,0.00,10.00,M
CMI,2016-01-09 04:53,41.00,37.94,88.76,270.00,6.9,1010.80,0.00,10.00,M
CMI,2016-01-09 05:53,39.92,37.94,92.56,290.00,8.1,1010.60,0.00,10.00,M
CMI,2016-01-09 06:43,39.92,37.94,92.56,0.00,0.0,M,0.00,10.00,M
CMI,2016-01-09 06:53,39.92,37.94,92.56,220.00,4.6,1011.50,0.00,10.00,M
CMI,2016-01-09 07:07,39.92,37.94,92.56,210.00,6.9,M,0.00,10.00,M
CMI,2016-01-09 07:53,39.92,37.94,92.56,0.00,0.0,1011.10,0.00,10.00,M
CMI,2016-01-09 08:53,39.92,37.04,89.34,310.00,4.6,1011.10,0.00,10.00,M
CMI,2016-01-09 09:24,39.92,37.94,92.56,330.00,8.1,M,0.00,2.00,BR
CMI,2016-01-09 09:31,39.92,37.94,92.56,330.00,8.1,M,0.00,2.00,BR
CMI,2016-01-09 09:53,39.92,37.94,92.56,340.00,6.9,1011.10,0.00,2.00,BR
CMI,2016-01-09 10:53,39.92,37.94,92.56,350.00,8.1,1010.40,0.07,2.00,-RA BR
CMI,2016-01-09 11:12,39.92,37.94,92.56,10.00,6.9,M,0.01,2.00,RA BR
CMI,2016-01-09 11:28,39.92,37.94,92.56,360.00,8.1,M,0.04,2.00,-RA BR
CMI,2016-01-09 11:39,39.92,37.94,92.56,350.00,5.8,M,0.05,2.00,-RA BR
CMI,2016-01-09 11:53,39.92,37.94,92.56,360.00,8.1,1009.30,0.08,2.00,RA BR
CMI,2016-01-09 12:02,39.92,37.94,92.56,350.00,6.9,M,0.02,2.00,RA BR
CMI,2016-01-09 12:45,39.02,37.04,92.53,10.00,13.8,M,0.09,5.00,RA BR
CMI,2016-01-09 12:53,39.02,37.04,92.53,10.00,11.5,1007.50,0.10,5.00,-RA BR
CMI,2016-01-09 13:53,39.02,35.96,88.66,350.00,12.7,1007.00,0.03,3.00,RA BR
CMI,2016-01-09 14:53,37.04,35.06,92.46,320.00,15.0,1007.20,0.05,2.00,RA BR
CMI,2016-01-09 15:53,35.06,33.08,92.40,320.00,16.1,1007.40,0.04,3.00,-RA BR
CMI,2016-01-09 16:29,33.98,32.00,92.36,310.00,16.1,M,0.01,5.00,-RA BR
CMI,2016-01-09 16:53,33.98,32.00,92.36,320.00,18.4,1007.50,0.01,4.00,-RA BR
CMI,2016-01-09 17:08,33.98,32.00,92.36,330.00,20.7,M,0.00,5.00,-RA BR
CMI,2016-01-09 17:53,33.08,30.92,91.66,330.00,21.9,1007.50,0.00,8.00,-RA
CMI,2016-01-09 18:53,32.00,28.04,85.12,330.00,24.2,1007.20,0.00,8.00,M
CMI,2016-01-09 19:53,30.02,26.96,88.22,320.00,23.0,1007.60,0.00,7.00,M
CMI,2016-01-09 20:53,28.94,24.98,84.93,310.00,25.3,1007.70,0.00,6.00,-SN BR
CMI,2016-01-09 21:53,26.96,23.00,84.80,310.00,24.2,1007.90,0.00,7.00,-SN
CMI,2016-01-09 22:53,24.98,21.02,84.67,320.00,28.8,1008.20,0.00,9.00,M
CMI,2016-01-09 23:53,23.00,17.96,80.71,320.00,28.8,1008.20,0.00,10.00,M
CMI,2016-01-10 00:11,21.92,17.06,81.25,310.00,25.3,M,0.00,10.00,M
CMI,2016-01-10 00:53,19.94,15.98,84.33,310.00,29.9,1008.70,0.00,10.00,M
CMI,2016-01-10 01:53,19.04,15.08,84.27,310.00,29.9,1009.40,0.00,8.00,UP
CMI,2016-01-10 02:53,17.96,12.02,77.17,310.00,29.9,1010.00,0.00,6.00,-SN
CMI,2016-01-10 03:53,17.06,12.02,80.22,300.00,28.8,1010.90,0.00,7.00,-SN
CMI,2016-01-10 04:49,15.80,8.60,72.73,310.00,25.3,M,0.00,6.00,-SN
CMI,2016-01-10 04:53,15.08,8.96,76.27,300.00,26.5,1012.10,0.00,8.00,-SN
CMI,2016-01-10 05:53,14.00,8.96,79.96,300.00,28.8,1013.40,0.00,6.00,-SN
CMI,2016-01-10 06:53,12.92,6.98,76.68,300.00,27.6,1014.70,0.00,6.00,-SN
CMI,2016-01-10 07:53,12.02,6.08,76.59,300.00,26.5,1015.80,0.00,7.00,UP
